bird_reference	bird_shorthand	bird_shorthand_pt
947	SZAK	SZ.AK
948	SZAM	S.ZAM
949	SZAP	SZA.P
950	SZAU	S.ZAU
951	SZAW	SZA.W
952	SHAA	S.HAA
953	SHAG	SHA.G
954	SHAH	S.HAH
955	SFAB	S.FAB
956	SFAC	SF.AC
957	SFAG	SF.AG
958	SFAK	SF.AK
959	SFAL	SFA.L
960	SFAM	S.FAM
961	SFAS	SF.AS
962	SFAT	SFA.T
963	SFAU	S.FAU
964	SFAX	SFA.X
965	SFAZ	S.FAZ
966	SGAA	SG.AA
967	SGAC	S.GAC
968	SGAG	S.GAG
969	SGAK	S.GAK
970	SGAR	SGA.R
971	SGAS	S.GAS
972	SGAU	SGA.U
973	SGAV	S.GAV
974	SGAX	SG.AX
975	YPAW	Y.PAW
976	USAF	US.AF
977	URAN	URA.N
978	URAF	UR.AF
979	UMAP	U.MAP
980	UMAC	UMA.C
981	YZAB	YZ.AB
982	UMAA	U.MAA
983	KRN	KRN
984	KRP	KRP
985	KRR	KRR
986	KRS	KRS
987	KRV	KRV
988	KRT	KRT
989	KRW	KRW
990	KRX	KRX
991	KRY	KRY
992	KRZ	KRZ
993	KMB	KMB
994	KMC	KMC
995	KMF	KMF
996	KMH	KMH
997	KMJ	KMJ
998	KMK	KMK
999	KML	KML
1000	KMM	KMM
1001	KMN	KMN
1002	KMP	KMP
1003	KMR	KMR
1004	KMS	KMS
1005	KMT	KMT
1006	KMU	KMU
1007	KMV	KMV
1008	KMW	KMW
1009	KMX	KMX
1010	KMY	KMY
1011	KNA	KNA
1012	KNB	KNB
1013	KNC	KNC
1014	KNE	KNE
1015	KNF	KNF
1016	KNH	KNH
1017	KNJ	KNJ
1018	KNK	KNK
1019	KNL	KNL
1020	KNM	KNM
1021	KNN	KNN
1022	BAA	BAA
1023	BAB	BAB
1024	BAC	BAC
1025	BAF	BAF
1026	BAJ	BAJ
1027	BAH	BAH
1028	BAK	BAK
1029	BAL	BAL
1030	BAM	BAM
1031	BAN	BAN
1032	BAR	BAR
1033	BAS	BAS
1034	BAT	BAT
1035	BAP	BAP
1036	BAV	BAV
1037	BAW	BAW
1038	KNP	KNP
1039	KNR	KNR
1040	KNS	KNS
1041	KNT	KNT
1042	KNU	KNU
1043	KNX	KNX
1044	KNY	KNY
1045	KNV	KNV
1046	KNW	KNW
1047	KNZ	KNZ
1048	KMZ	KMZ
1049	KVZ	KVZ
1050	BAE	BAE
1051	BAX	BAX
1052	BAY	BAY
1053	BAZ	BAZ
1054	BBA	BBA
1055	BAU	BAU
1056	BBB	BBB
1057	BBC	BBC
1058	BBE	BBE
1059	BBF	BBF
1060	YZAX	YZ.AX
1061	YZAU	YZ.AU
1062	YZAV	YZA.V
1063	YZAG	YZA.G
1064	YZAH	Y.ZAH
1065	YZAK	YZA.K
1066	YZAN	YZA.N
1067	YFAZ	Y.FAZ
1068	YFAW	Y.FAW
1069	YYAL	Y.YAL
1070	YWAR	YW.AR
1071	YWAK	YWA.K
1072	YVAW	Y.VAW
1073	YWAA	Y.WAA
1074	YWAH	Y.WAH
1075	YVAT	Y.VAT
1076	YVAM	YV.AM
1077	YVAN	YVA.N
1078	YVAC	YVA.C
1079	YUAW	Y.UAW
1080	YUAX	YU.AX
1081	YUAP	Y.UAP
1082	YUAH	Y.UAH
1083	YTAY	YTA.Y
1084	YFAR	YF.AR
1085	YFAM	YF.AM
1086	YFAK	YFA.K
1087	YFAH	Y.FAH
1088	YFAF	YF.AF
1089	YDAZ	Y.DAZ
1090	YFAA	Y.FAA
1091	YDAT	Y.DAT
1092	YDAU	YD.AU
1093	YDAW	Y.DAW
1094	YDAL	Y.DAL
1095	YDAM	YD.AM
1096	YCAZ	Y.CAZ
1097	YDAA	Y.DAA
1098	YDAB	YD.AB
1099	YDAC	YDA.C
1100	YDAD	Y.DAD
1101	YDAF	YD.AF
1102	YDAG	YDA.G
1103	YDAH	Y.DAH
1104	YDAJ	YD.AJ
1105	YCAT	Y.CAT
1106	YCAU	YC.AU
1107	YCAR	YC.AR
1108	YCAN	YCA.N
