bird_reference	raw_KleurringNummer	bird_date_begin	bird_shorthand_pt
439	CAAG	2001-01-09T00:00:00Z	CAAG
440	CAAH	2001-01-09T00:00:00Z	CAAH
441	CAAJ	2001-01-09T00:00:00Z	CAAJ
442	BHAS	1999-07-09T00:00:00Z	BHAS
443	BYAB	2000-12-26T00:00:00Z	BYAB
444	BYAC	2000-12-26T00:00:00Z	BYAC
445	BYAD	2000-12-26T00:00:00Z	BYAD
446	BYAF	2000-12-26T00:00:00Z	BYAF
447	BYAG	2000-12-26T00:00:00Z	BYAG
448	BYAH	2000-12-26T00:00:00Z	BYAH
449	BYAR	2001-01-09T00:00:00Z	BYAR
450	BYAV	2000-07-08T00:00:00Z	BYAV
451	BYAZ	2000-12-26T00:00:00Z	BYAZ
452	BZAT	2001-03-02T00:00:00Z	BZAT
453	BZAU	2001-03-02T00:00:00Z	BZAU
454	BZAV	2001-04-25T00:00:00Z	BZAV
455	BZAW	2001-04-25T00:00:00Z	BZAW
456	BZAX	2001-04-25T00:00:00Z	BZAX
457	BZAY	2001-04-25T00:00:00Z	BZAY
458	BZAZ	2001-04-25T00:00:00Z	BZAZ
459	BYAJ	2000-12-26T00:00:00Z	BYAJ
460	BYAK	2000-12-26T00:00:00Z	BYAK
461	BYAY	2000-12-26T00:00:00Z	BYAY
462	KKAW	2008-06-06T00:00:00Z	KK.AW
463	BTAZ	1999-07-12T00:00:00Z	BTAZ
464	BRAL	1999-07-13T00:00:00Z	BRAL
465	CBAR	2001-02-09T00:00:00Z	CBAR
466	BGAH	1999-07-09T00:00:00Z	BGAH
467	AAAX	1999-07-02T00:00:00Z	AAAX
468	AAAY	1999-07-02T00:00:00Z	AAAY
469	AWAY	1999-07-09T00:00:00Z	AWAY
470	AWAK	1999-07-09T00:00:00Z	AWAK
471	AUAV	1999-07-09T00:00:00Z	AUAV
472	ARAB	1999-07-07T00:00:00Z	ARAB
473	ARAK	1999-07-07T00:00:00Z	ARAK
474	ARAY	1999-07-07T00:00:00Z	ARAY
475	BJAH	1999-07-09T00:00:00Z	BJAH
476	APAC	1999-07-07T00:00:00Z	APAC
477	ALAP	1999-07-07T00:00:00Z	ALAP
478	ANAZ	1999-07-07T00:00:00Z	ANAZ
479	APAV	1999-07-07T00:00:00Z	APAV
480	AMAD	1999-07-07T00:00:00Z	AMAD
481	ALAJ	1999-07-07T00:00:00Z	ALAJ
482	AMAA	1999-07-07T00:00:00Z	AMAA
483	AHAK	1999-07-07T00:00:00Z	AHAK
484	AHAP	1999-07-07T00:00:00Z	AHAP
485	AGAY	1999-07-07T00:00:00Z	AGAY
486	ABAS	1999-07-02T00:00:00Z	ABAS
487	ADAH	1999-07-02T00:00:00Z	ADAH
488	AJAV	1999-07-07T00:00:00Z	AJAV
489	ACAF	1999-07-02T00:00:00Z	ACAF
490	AMAX	1999-07-07T00:00:00Z	AMAX
491	AKAP	1999-07-07T00:00:00Z	AKAP
492	AMAR	1999-07-07T00:00:00Z	AMAR
493	ABAB	1999-07-02T00:00:00Z	ABAB
494	APAX	1999-07-07T00:00:00Z	APAX
495	BHAW	1999-07-09T00:00:00Z	BHAW
496	AVAN	1999-07-09T00:00:00Z	AVAN
497	AVAV	1999-07-09T00:00:00Z	AVAV
498	AGAD	1999-07-07T00:00:00Z	AGAD
499	AZAZ	1999-07-20T00:00:00Z	AZAZ
500	AMAG	1999-07-07T00:00:00Z	AMAG
501	AHAY	1999-07-07T00:00:00Z	AHAY
502	AJAB	1999-07-07T00:00:00Z	AJAB
503	AHAU	1999-07-07T00:00:00Z	AHAU
504	ADAV	1999-07-07T00:00:00Z	ADAV
505	AGAN	1999-07-07T00:00:00Z	AGAN
506	AFAW	1999-07-07T00:00:00Z	AFAW
507	AJAU	1999-07-07T00:00:00Z	AJAU
508	AJAS	1999-07-07T00:00:00Z	AJAS
509	AJAD	1999-07-07T00:00:00Z	AJAD
